Gene	withingroup.factor	acrossgroup.factor	rescale.factor
AC007056.1	1	1	1
AC007064.24	1	1	1
AC007078.4	1	1	1
AC007091.1	1	1	1
AC007092.1	1	1	1
AC007096.1	1	1	1
AC007098.1	1	1	1
AC007099.1	1	1	1
AC007099.2	1	1	1
AC007106.1	1	1	1
AC007114.1	1	1	1
AC007126.1	1	1	1
AC007128.1	1	1	1
AC007131.1	1	1	1
AC007131.2	1	1	1
AC007131.3	1	1	1
AC007161.5	1	1	1
AC007163.3	1	1	1
AC007163.6	1	1	1
AC007179.1	1	1	1
AC007179.2	1	1	1
AC007182.6	1	1	1
AC007192.6	1	1	1
AC007193.10	1	1	1
AC007193.6	1	1	1
AC007193.8	1	1	1
AC007193.9	1	1	1
AC007204.1	1	1	1
AC007204.2	1	1	1
AC007216.1	1	1	1
AC007216.2	1	1	1
AC007228.11	1	1	1
AC007228.5	1	1	1
AC007228.9	1.05	1.194	1.194
AC007241.1	1	1	1
AC007242.1	1	1	1
AC007246.3	1	1.071	1.071
AC007249.3	1	1	1
AC007250.4	1	1	1
AC007251.2	1	1	1
AC007255.8	1	1	1
AC007271.3	1	1	1
AC007276.5	1	1	1
AC007277.3	1	1	1
AC007278.2	1	1	1
AC007278.3	1	1	1
AC007283.5	1	1	1
AC007285.6	1	1	1
AC007285.7	1	1	1
AC007292.3	1	1	1
AC007292.4	1	1	1
AC007292.6	1	1	1
AC007292.7	1	1	1
AC007308.6	1	1	1
AC007308.7	1	1	1
AC007317.1	1	1	1
AC007319.1	1	1	1
AC007327.5	1	1	1
AC007333.1	1	1	1
AC007339.1	1	1	1
AC007349.4	1	1	1
AC007349.5	1	1	1
AC007349.7	1	1	1
AC007353.1	1	1	1
AC007358.1	1	1	1
AC007359.6	1	1	1
AC007362.3	1	1	1
AC007364.1	1	1	1
AC007365.1	1	1	1
AC007365.2	1	1	1
AC007365.3	1	1	1
AC007375.1	1	1	1
AC007377.1	1	1	1
AC007381.2	1	1	1
AC007381.3	1	1	1
AC007382.1	1	1	1
AC007383.3	1	1	1
AC007383.4	1	1	1
AC007386.2	1	1	1
AC007386.4	1	1	1
AC007389.3	1	1	1
AC007389.4	1	1	1
AC007390.5	1.328	1	1.328
AC007391.2	1	1	1
AC007392.3	1	1	1
AC007392.4	1	1	1
AC007395.3	1	1	1
AC007401.2	1	1.543	1.543
AC007402.1	1	1	1
AC007403.1	1	1	1
AC007403.2	1	1	1
AC007403.3	1	1	1
AC007405.2	1	1	1
AC007405.4	1	1	1
AC007405.6	1.233	1.092	1.233
AC007405.8	1	1	1
AC007421.1	1	1	1
AC007422.1	1	1	1
AC007431.1	1	1	1
AC007435.1	1	1	1
AC007436.1	1	1	1
AC007450.1	1	1	1
AC007461.1	1	1	1
AC007461.2	1	1	1
AC007463.2	1	1	1
AC007464.1	1	1	1
AC007486.1	1	1	1
AC007528.1	1	1	1
AC007535.1	1	1	1
AC007551.1	1	1	1
AC007551.3	1.032	1	1.032
AC007556.3	1	1	1
AC007557.1	1	1	1
AC007557.2	1	1	1
AC007557.3	1	1	1
AC007557.4	1	1	1
AC007560.2	1	1	1
AC007563.1	1	1	1
AC007563.3	1	1	1
AC007563.5	1	1	1
AC007566.10	1	1	1
AC007567.1	1	1	1
AC007611.1	1	1	1
AC007620.3	1	1	1
AC007631.1	1	1	1
AC007652.1	1	1	1
AC007679.3	1	1	1
AC007680.2	1	1	1
AC007682.1	1	1	1
AC007682.2	1	1	1
AC007682.3	1	1	1
AC007731.1	1	1	1
AC007740.1	1	1	1
AC007743.1	1	1	1
AC007750.5	1	1	1
AC007773.1	1	1	1
AC007773.2	1	1	1
AC007773.3	1	1	1
AC007787.2	1	1	1
AC007795.1	1	1	1
AC007796.1	1	1	1
AC007842.1	1	1	1
AC007879.1	1	1	1
AC007879.2	1	1	1
AC007879.3	1	1	1
AC007879.4	1	1	1
AC007879.5	1	1	1
AC007879.6	1	1	1
AC007879.7	1	1	1
AC007880.1	1	1	1
AC007881.1	1	1	1
AC007881.2	1	1	1
AC007919.1	1	1	1
AC007919.2	1	1	1
AC007948.1	1	1	1
AC007950.1	1	1	1
AC007952.1	1	1	1
AC007952.4	1	1	1
AC007952.5	1	1	1
AC007952.6	1	1	1
AC007956.1	1	1	1
AC007965.1	1	1	1
AC007966.1	1	1	1
AC007967.3	1	1	1
AC007970.1	1	1	1
AC008045.1	1	1	1
AC008060.5	1	1	1
AC008060.7	1	1	1
AC008060.8	1	1	1
AC008063.2	1	1	1
AC008063.3	1	1	1
AC008064.1	1	1	1
AC008067.2	1	1	1
AC008069.1	1	1	1
AC008073.7	1	1	1
AC008073.9	1	1	1
AC008074.3	1	1	1
AC008074.4	1	1	1
AC008079.9	1	1	1
AC008085.1	1	1	1
AC008088.4	1.005	1.016	1.016
AC008122.1	1	1	1
AC008132.1	1	1	1
AC008132.13	1	1	1
AC008154.4	1	1	1
AC008154.5	1	1	1
AC008163.4	1	1	1
AC008166.1	1	1	1
AC008174.3	1	1	1
AC008175.1	1	1	1
AC008267.1	1	1	1
AC008268.1	1	1	1
AC008268.2	1	1	1
AC008269.2	1	1	1
AC008271.1	1	1	1
AC008277.1	1	1	1
AC008278.2	1	1	1
AC008278.3	1	1	1
AC008281.1	1	1	1
AC008372.1	1	1	1
AC008387.1	1	1	1
AC008391.1	1	1	1
AC008394.1	1	1	1
AC008397.1	1	1	1
AC008410.1	1	1	1
AC008440.10	1	1	1
AC008440.5	1	1	1
AC008443.1	1	1.082	1.082
AC008498.1	1	1	1
AC008536.1	1	1	1
AC008581.1	1	1	1
AC008592.4	1	1	1
AC008592.5	1	1	1
AC008592.7	1	1	1
AC008592.8	1	1	1
AC008625.1	1	1	1
AC008671.1	1	1	1
AC008674.1	1	1	1
AC008686.1	1	1	1
AC008691.1	1	1	1
AC008694.3	1	1	1
AC008697.1	1	1	1
AC008703.1	1	1	1
AC008703.2	1	1	1
AC008706.1	1	1	1
AC008738.2	1	1	1
AC008746.12	1	1	1
AC008746.3	1	1	1
AC008747.1	1	1	1
AC008752.1	1	1	1
AC008752.2	1	1	1
AC008752.3	1	1	1
AC008753.4	1	1	1
AC008753.6	1	1	1
AC008780.1	1	1	1
AC008781.7	1	1	1
AC008834.1	1	1	1
AC008836.1	1	1	1
AC008869.1	1	1	1
AC008914.1	1	1	1
AC008937.2	1.506	1	1.506
AC008937.3	1	1	1
AC008938.1	1	1	1
AC008940.1	1	1	1
AC008948.1	1	1	1
AC008949.1	1	1	1
