Gene	withingroup.factor	acrossgroup.factor	rescale.factor
AC010092.1	1	1	1
AC010095.5	1	1	1
AC010096.1	1	1	1
AC010096.2	1	1	1
AC010105.1	1	1	1
AC010127.3	1	1	1
AC010127.5	1	1	1
AC010132.10	1	1	1
AC010136.2	1	1	1
AC010139.1	1	1	1
AC010145.4	1	1	1
AC010146.2	1	1	1
AC010148.1	1	1	1
AC010149.4	1	1	1
AC010150.2	1	1	1
AC010196.1	1	1	1
AC010203.1	1	1	1
AC010207.1	1	1	1
AC010209.1	1	1	1
AC010226.4	1.016	1	1.016
AC010235.1	1	1	1
AC010247.1	1	1	1
AC010295.1	1	1	1
AC010297.1	1	1	1
AC010311.1	1	1	1
AC010319.1	1	1	1
AC010323.1	1	1	1
AC010327.1	1	1	1
AC010327.2	1	1	1
AC010329.1	1	1	1
AC010336.1	1.413	1	1.413
AC010368.1	1	1	1
AC010368.2	1	1	1
AC010376.1	1	1	1
AC010422.1	1	1	1
AC010423.1	1	1	1
AC010441.1	1	1.073	1.073
AC010455.1	1	1	1
AC010458.1	1	1	1
AC010468.2	1	1	1
AC010504.2	1	1	1
AC010524.2	1	1	1
AC010524.4	1	1	1
AC010525.2	1	1	1
AC010525.4	1	1	1
AC010525.6	1	1	1
AC010525.7	1	1	1
AC010528.1	1	1	1
AC010536.1	1	1	1
AC010543.1	1	1	1
AC010546.1	1	1	1
AC010547.9	1	1.018	1.018
AC010595.1	1	1	1
AC010609.1	1	1	1
AC010641.1	1	1	1
AC010642.1	1	1.119	1.119
AC010646.3	1	1	1
AC010649.1	1	1	1
AC010723.1	1	1	1
AC010723.2	1	1	1
AC010724.1	1	1	1
AC010729.1	1	1	1
AC010729.2	1	1	1
AC010729.3	1	1	1
AC010731.2	1	1	1
AC010731.3	1	1	1
AC010731.4	1	1	1
AC010733.4	1	1	1
AC010739.1	1	1	1
AC010744.1	1	1	1
AC010745.1	1	1	1
AC010745.2	1	1	1
AC010745.3	1	1	1
AC010745.4	1	1	1
AC010746.3	1	1	1
AC010754.1	1	1	1
AC010760.1	1	1	1
AC010761.10	1	1	1
AC010761.13	1	1	1
AC010761.14	1	1	1
AC010761.6	1	1	1
AC010761.8	1	1	1
AC010761.9	1	1	1
AC010874.1	1	1	1
AC010877.1	1	1	1
AC010880.1	1	1	1
AC010883.5	1	1	1
AC010884.1	1	1	1
AC010884.2	1	1	1
AC010887.1	1	1	1
AC010890.1	1	1	1
AC010891.2	1	1	1
AC010894.3	1	1	1
AC010894.5	1	1	1
AC010907.2	1	1	1
AC010907.5	1	1	1
AC010928.1	1	1	1
AC010930.1	1	1	1
AC010967.2	1	1	1
AC010967.3	1	1	1
AC010969.1	1	1	1
AC010970.1	1	1	1
AC010971.1	1	1	1
AC010974.3	1	1	1
AC010975.1	1	1	1
AC010976.2	1	1	1
AC010980.2	1	1	1
AC010982.1	1	1	1
AC010982.2	1	1	1
AC010983.1	1	1	1
AC010987.5	1	1	1
AC010987.6	1	1	1
AC010999.1	1	1	1
AC011043.1	1	1.085	1.085
AC011073.1	1	1	1
AC011193.1	1	1	1
AC011196.3	1	1	1
AC011239.1	1	1	1
AC011243.1	1	1	1
AC011247.3	1	1	1
AC011284.3	1	1	1
AC011286.1	1	1	1
AC011288.2	1	1	1
AC011290.4	1	1	1
AC011293.1	1	1	1
AC011294.3	1	1	1
AC011298.1	1	1	1
AC011298.2	1	1	1
AC011306.1	1	1	1
AC011306.2	1	1	1
AC011308.1	1	1	1
AC011313.1	1	1	1
AC011322.1	1	1	1
AC011343.1	1	1	1
AC011357.1	1	1	1
AC011363.1	1	1	1
AC011366.3	1	1	1
AC011379.1	1	1	1
AC011407.1	1	1	1
AC011410.1	1	1	1
AC011416.1	1	1	1
AC011431.2	1	1	1
AC011450.1	1	1	1
AC011453.1	1	1	1
AC011456.1	1	1	1
AC011465.1	1	1	1
AC011467.1	1	1	1
AC011475.1	1	1	1
AC011477.1	1	1	1
AC011478.1	1	1	1
AC011484.1	1	1	1
AC011499.1	1	1	1
AC011500.1	1	1	1
AC011513.4	1	1	1
AC011516.1	1	1	1
AC011516.2	1	1	1
AC011518.1	1	1	1
AC011518.2	1	1	1
AC011523.2	1	1	1
AC011524.1	1	1	1
AC011524.2	1	1	1
AC011524.3	1	1	1
AC011525.2	1	1	1
AC011525.4	1	1	1
AC011526.1	1	1	1
AC011530.4	1	1	1
AC011551.3	1	1	1
AC011558.5	1	1	1
AC011591.1	1	1	1
AC011625.1	1	1	1
AC011626.1	1	1	1
AC011648.1	1	1	1
AC011652.1	1	1	1
AC011652.2	1	1	1
AC011718.2	1	1	1
AC011718.3	1	1	1
AC011738.1	1	1	1
AC011738.4	1	1	1
AC011747.3	1	1	1
AC011747.4	1.141	1	1.141
AC011747.6	1	1	1
AC011747.7	1	1	1
AC011748.1	1	1	1
AC011752.1	1	1	1
AC011753.5	1	1	1
AC011754.1	1	1	1
AC011755.1	1	1	1
AC011841.1	1	1	1
AC011841.10	1	1	1
AC011841.3	1	1	1
AC011841.4	1	1	1
AC011841.5	1	1	1
AC011841.6	1	1	1
AC011841.7	1	1	1
AC011841.8	1	1	1
AC011841.9	1	1	1
AC011891.5	1	1	1
AC011893.3	1	1	1
AC011897.1	1	1	1
AC011897.2	1	1	1
AC011899.10	1	1	1
AC011899.9	1	1	1
AC011901.2	1	1	1
AC011994.1	1	1	1
AC011995.1	1	1	1
AC011995.3	1	1	1
AC011997.1	1	1	1
AC011998.1	1	1	1
AC012003.1	1	1	1
AC012047.1	1	1	1
AC012050.1	1	1	1
AC012065.4	1	1	1
AC012065.7	1	1.126	1.126
AC012067.1	1	1	1
AC012074.2	1	1	1
AC012075.2	1	1	1
AC012119.1	1	1	1
AC012123.1	1	1	1
AC012146.7	1.006	1	1.006
AC012150.1	1	1	1
AC012175.1	1	1	1
AC012181.1	1	1	1
AC012215.1	1	1	1
AC012305.1	1	1	1
AC012307.2	1	1	1
AC012307.3	1	1	1
AC012309.5	1	1	1
AC012313.1	1	1	1
AC012314.20	1	1	1
AC012314.8	1	1	1
AC012317.1	1	1	1
AC012322.1	1	1	1
AC012353.1	1	1	1
AC012354.6	1.038	1.106	1.106
AC012358.7	1	1	1
AC012358.8	1	1	1
AC012360.1	1	1	1
AC012360.2	1	1	1
AC012360.4	1	1	1
AC012360.6	1	1	1
AC012361.1	1	1	1
AC012362.1	1	1	1
AC012363.13	1	1	1
AC012363.4	1	1	1
AC012368.1	1	1	1
AC012370.2	1	1	1
AC012370.3	1	1	1
AC012391.1	1	1	1
AC012414.1	1	1	1
AC012442.5	1	1	1
AC012442.6	1	1	1
AC012445.1	1	1	1
AC012451.1	1	1	1
AC012456.3	1	1	1
AC012456.4	1	1	1
AC012457.2	1	1	1
AC012462.1	1	1	1
AC012462.2	1	1	1
AC012462.3	1	1	1
AC012467.1	1	1	1
AC012485.1	1	1	1
AC012485.2	1	1	1
AC012487.2	1.059	1	1.059
AC012493.2	1	1	1
AC012494.1	1	1	1
AC012499.1	1.142	1	1.142
AC012501.2	1	1	1
AC012506.1	1	1	1
AC012506.2	1	1	1
AC012506.3	1	1	1
AC012506.4	1	1	1
AC012507.3	1	1	1
AC012507.4	1	1	1
AC012513.6	1	1	1
AC012531.23	1	1	1
AC012531.25	1	1	1
AC012564.1	1	1	1
AC012593.1	1	1	1
AC012594.1	1	1	1
AC012603.1	1	1	1
AC012613.2	1	1	1
AC012627.1	1	1	1
AC012667.1	1	1	1
AC012668.1	1	1	1
AC012668.2	1	1	1
AC012668.3	1	1	1
AC012671.1	1	1	1
AC012671.3	1	1	1
AC012671.4	1	1	1
AC013248.2	1	1	1
AC013264.2	1	1	1
AC013268.1	1	1	1
AC013268.5	1	1	1
AC013269.3	1	1	1
AC013269.4	1	1	1
AC013269.5	1	1	1
AC013271.3	1	1	1
AC013275.1	1	1	1
AC013275.2	1	1	1
AC013283.1	1	1	1
AC013394.2	1.73	2.678	2.678
AC013401.1	1	1	1
AC013401.2	1	1	1
AC013402.1	1	1	1
AC013402.2	1	1	1
AC013402.3	1	1	1
AC013402.4	1	1	1
AC013402.5	1	1	1
AC013406.1	1	1	1
AC013436.6	1	1	1
AC013444.2	1	1	1
AC013448.1	1	1	1
AC013448.2	1	1	1
AC013449.1	1	1	1
AC013460.1	1	1	1
AC013463.2	1	1	1
AC013468.1	1	1	1
AC013469.1	1	1	1
AC013472.3	1	1	1
AC013472.4	1	1	1
AC013476.1	1	1	1
AC013477.1	1	1	1
AC013480.2	1	1	1
AC013489.1	1	1	1
AC013558.1	1	1	1
AC013727.1	1	1	1
AC013727.2	1	1	1
AC013731.1	1	1	1
AC013733.3	1	1	1
AC013733.4	1	1	1
AC013737.1	1	1	1
AC013751.1	1	1	1
AC015600.1	1	1	1
AC015660.1	1	1	1
AC015688.3	1	1	1
AC015691.13	1	1	1
AC015818.3	1	1	1
AC015820.1	1	1	1
AC015849.12	1	1	1
AC015849.13	1	1.707	1.707
AC015849.16	1	1	1
AC015849.19	1	1	1
AC015849.2	1	1	1
AC015884.1	1	1	1
AC015922.5	1	1	1
AC015922.6	1	1	1
AC015923.1	1	1	1
AC015933.2	1	1	1
AC015936.3	1	1	1
AC015969.3	1	1	1
AC015971.1	1	1	1
AC015971.2	1	1	1
AC015977.6	1	1	1
AC015987.1	1	1	1
AC015987.2	1	1	1
AC015989.1	1	1	1
AC015989.2	1	1	1
AC016113.1	1	1	1
AC016178.1	1	1	1
AC016178.2	1	1	1
AC016194.1	1	1	1
AC016251.1	1	1	1
AC016292.1	1	1	1
AC016405.2	1	1	1
AC016543.1	1	1	1
AC016553.1	1	1	1
AC016559.1	1	1	1
AC016575.1	1	1	1
AC016582.2	1	1	1
AC016586.1	1	1	1
AC016597.1	1	1	1
AC016626.2	1	1	1
AC016629.3	1	1	1
AC016629.8	1	1.124	1.124
AC016644.1	1	1	1
AC016670.1	1	1	1
AC016682.1	1	1	1
AC016683.5	1	1	1
AC016683.6	1.14	1.379	1.379
AC016697.3	1	1	1
AC016700.2	1	1	1
AC016700.3	1	1	1
AC016700.5	1	1	1
AC016706.1	1	1	1
AC016710.1	1	1	1
AC016716.2	1	1	1
AC016722.1	1	1	1
AC016722.2	1	1	1
AC016722.3	1	1	1
AC016722.4	1	1	1
AC016723.4	1	1	1
AC016725.4	1	1.05	1.05
AC016727.1	1	1	1
AC016730.1	1	1	1
AC016735.1	1	1	1
AC016735.2	1	1	1
AC016735.3	1	1	1
AC016738.3	1	1	1
AC016738.4	1	1	1
AC016745.1	1	1	1
AC016745.3	1	1	1
AC016747.3	1	1	1
AC016751.2	1	1	1
AC016751.3	1	1	1
AC016752.1	1	1	1
AC016757.3	1	1	1
AC016764.1	1	1	1
AC016768.1	1	1	1
AC016821.1	1	1	1
AC016831.7	1	1	1
AC016885.1	1	1	1
AC016903.1	1	1	1
AC016903.2	1	1	1
AC016907.1	1	1	1
AC016907.3	1	1	1
AC016909.1	1	1	1
AC016910.1	1	1	1
AC016912.3	1	1	1
AC016970.1	1	1	1
AC016994.2	1	1	1
AC016995.3	1.098	1	1.098
AC016999.2	1	1	1
AC017002.1	1	1	1
AC017002.2	1	1	1
AC017002.4	1	1	1
AC017006.2	1	1	1
AC017006.3	1	1	1
AC017020.1	1	1	1
AC017028.1	1	1	1
AC017028.10	1	1	1
AC017028.2	1	1	1
AC017028.3	1	1	1
AC017028.4	1	1	1
AC017028.5	1	1	1
AC017028.6	1	1	1
AC017028.7	1	1	1
AC017028.8	1	1	1
AC017028.9	1	1	1
AC017048.1	1	1	1
AC017048.2	1	1	1
AC017048.3	1	1	1
AC017048.4	1	1	1
AC017053.1	1	1	1
AC017060.1	1	1	1
AC017074.1	1	1	1
AC017074.2	1	1	1
AC017076.5	1	1	1
AC017081.1	1	1	1
AC017083.1	1	1	1
AC017083.3	1	1	1
AC017084.1	1	1	1
AC017099.3	1	1	1
AC017101.10	1	1	1
AC017104.1	1	1	1
AC017104.2	1	1	1
AC017104.6	1	1	1
AC017116.11	1	1	1
AC018359.1	1	1	1
AC018359.3	1	1	1
AC018445.1	1	1	1
AC018450.1	1	1	1
AC018462.2	1	1	1
AC018464.3	1	1	1
AC018470.1	1	1	1
AC018470.4	1	1	1
AC018495.3	1	1	1
AC018506.1	1	1	1
AC018512.1	1	1	1
AC018607.1	1	1	1
AC018618.1	1	1	1
AC018628.1	1	1	1
AC018630.1	1	1	1
AC018635.1	1	1	1
AC018643.4	1	1	1
AC018647.3	1	1	1
AC018685.1	1	1	1
AC018685.2	1	1	1
AC018690.1	1	1	1
AC018692.2	1	1	1
AC018693.6	1	1	1
AC018705.5	1	1	1
AC018717.1	1	1	1
AC018730.1	1	1.978	1.978
AC018730.3	1	1	1
AC018730.4	1	1	1
AC018731.3	1	1	1
AC018737.1	1	1	1
AC018737.3	1	1	1
AC018742.1	1	1	1
AC018755.1	1	1	1
AC018755.16	1	1	1
AC018755.17	1	1	1
AC018766.4	1	1	1
AC018766.5	1	1	1
AC018766.6	1	1	1
AC018767.1	1	1	1
AC018799.1	1	1	1
AC018804.1	1	1	1
AC018804.3	1	1	1
AC018804.7	1	1	1
AC018816.3	1	1	1
AC018832.1	1	1	1
AC018865.8	1	1	1
AC018866.1	1	1	1
AC018867.1	1	1	1
AC018867.2	1	1	1
AC018878.3	1	1	1
AC018890.4	1	1	1
AC018890.6	1.03	1	1.03
AC019046.1	1	1	1
AC019048.1	1	1	1
AC019051.1	1	1	1
AC019055.1	1	1	1
AC019064.1	1	1	1
AC019068.2	1	1	1
AC019100.3	1	1	1
AC019117.1	1	1	1
AC019117.2	1	1	1
AC019118.2	1	1	1
AC019118.3	1	1	1
AC019118.4	1	1	1
AC019131.1	1	1	1
AC019171.1	1	1	1
AC019172.2	1	1	1
AC019173.1	1	1	1
AC019181.2	1	1	1
AC019185.4	1	1	1
AC019186.1	1	1	1
AC019198.1	1	1	1
AC019201.1	1	1	1
AC019205.1	1	1	1
AC019205.2	1	1	1
AC019206.1	1	1	1
AC019221.4	1	1	1
AC019294.1	1	1	1
AC019319.1	1	1	1
AC019322.1	1	1	1
AC019330.1	1	1	1
AC019330.2	1	1	1
AC019349.5	1	1	1
AC020571.3	1	1	1
AC020594.5	1	1	1
AC020595.1	1	1	1
AC020601.1	1	1	1
AC020606.1	1	1	1
AC020626.1	1	1	1
AC020629.1	1	1	1
AC020636.1	1	1	1
AC020703.1	1	1	1
AC020743.2	1	1	1
AC020743.3	1	1	1
AC020743.4	1	1	1
AC020892.1	1	1	1
AC020895.1	1	1	1
AC020900.1	1	1	1
AC020900.2	1	1	1
AC020907.1	1	1	1
AC020910.1	1	1	1
AC020915.1	1	1	1
AC020922.1	1	1	1
AC020934.1	1	1	1
AC020952.1	1	1	1
AC020956.3	1	1	1
AC021016.6	1	1	1
AC021016.8	1	1	1
AC021021.2	1	1	1
AC021052.1	1	1	1
AC021078.1	1	1	1
AC021188.4	1	1	1
AC021205.1	1	1	1
AC021218.2	1	1	1
AC021224.1	1	1	1
AC021613.1	1	1	1
AC021654.1	1	1	1
AC021660.1	1	1	1
AC021749.1	1	1	1
AC021760.1	1	1	1
AC021818.1	1	1	1
AC021860.1	1	1	1
AC021887.1	1	1	1
AC022007.5	1	1	1
AC022021.1	1	1	1
AC022120.1	1	1	1
AC022142.1	1	1	1
AC022153.1	1	1	1
AC022154.7	1	1	1
AC022173.2	1	1	1
AC022182.1	1	1	1
AC022182.3	1	1	1
AC022201.4	1	1	1
AC022201.5	1	1	1
AC022210.1	1	1	1
AC022311.1	1	1	1
AC022400.2	1	1	1
AC022431.2	1	1	1
AC022431.3	1	1	1
AC022486.1	1	1	1
AC022498.1	1	1	1
AC022532.1	1	1	1
AC022537.1	1	1	1
AC022538.1	1	1	1
AC022596.2	1	1	1
AC022596.6	1	1	1
AC022616.1	1	1	1
AC022681.1	1	1	1
AC022716.1	1	1	1
AC022816.2	1	1	1
AC022819.1	1	1	1
AC022819.2	1	1	1
AC022819.3	1	1	1
AC022861.1	1	1	1
AC022872.1	1	1	1
AC022909.1	1	1	1
AC023050.1	1	1	1
AC023085.1	1	1	1
AC023115.1	1	1	1
AC023115.2	1	1	1
AC023115.4	1	1	1
AC023128.1	1	1	1
AC023137.2	1	1	1
AC023157.1	1	1	1
AC023158.1	1	1	1
AC023237.1	1	1	1
AC023347.1	1	1	1
AC023385.1	1	1	1
AC023469.1	1	1	1
AC023469.2	1	1	1
AC023481.1	1	1	1
AC023490.1	1	1	1
AC023490.2	1	1	1
AC023513.1	1	1	1
AC023590.1	1	1	1
AC023593.1	1	1	1
AC023632.1	1	1	1
AC023669.1	1	1	1
AC023672.2	1	1	1
AC023798.1	1	1	1
AC023818.1	1	1	1
AC023824.1	1	1	1
AC023992.1	1	1	1
AC024028.1	1	1	1
AC024082.1	1	1	1
AC024084.1	1	1	1
AC024132.1	1	1	1
AC024149.1	1	1	1
AC024158.1	1	1	1
AC024198.1	1	1	1
AC024257.1	1	1	1
AC024475.1	1	1	1
AC024560.2	1	1	1
AC024560.3	1.171	1.019	1.171
AC024568.1	1	1	1
AC024569.1	1	1	1
AC024580.1	1	1	1
AC024590.1	1	1	1
AC024592.12	1	1	1
AC024592.9	1	1	1
AC024610.1	1	1	1
AC024619.2	1	1	1
AC024704.2	1	1	1
AC024896.1	1	1	1
AC024908.1	1	1	1
AC024940.1	1	1	1
AC024996.1	1	1	1
AC025016.1	1	1	1
AC025165.1	1	1	1
AC025165.8	1	1	1
AC025166.1	1	1	1
AC025171.1	1.035	1	1.035
AC025175.1	1	1	1
AC025262.1	1	1	1
AC025263.3	1	1	1
AC025278.1	1	1	1
AC025280.1	1	1	1
AC025284.1	1	1	1
AC025287.1	1	1	1
AC025300.1	1	1	1
AC025335.1	1.199	1	1.199
AC025426.1	1	1	1
AC025442.3	1	1	1
AC025458.1	1	1	1
AC025470.1	1	1	1
AC025594.1	1	1	1
AC025627.7	1	1	1
AC025627.9	1	1	1
AC025674.1	1	1	1
AC025678.1	1	1	1
AC025811.3	1	1	1
AC025918.2	1	1	1
AC026150.1	1	1	1
AC026150.2	1	1	1
AC026150.5	1	1	1
AC026150.8	1	1	1
AC026166.1	1	1	1
AC026167.1	1	1	1
AC026188.1	1	1	1
AC026202.1	1	1	1
AC026202.3	1	1.015	1.015
AC026202.5	1	1	1
AC026241.1	1	1	1
AC026310.1	1	1	1
AC026318.1	1	1	1
AC026320.1	1	1	1
AC026357.1	1	1	1
AC026366.1	1	1	1
AC026369.1	1	1	1
AC026407.1	1	1	1
AC026461.1	1	1	1
AC026471.6	1	1	1
AC026495.1	1	1	1
AC026512.1	1	1	1
AC026700.1	1	1	1
AC026703.1	1	1	1
AC026703.2	1	1	1
AC026740.1	1.024	1.089	1.089
AC026781.1	1	1	1
AC026797.1	1	1	1
AC026806.2	1.146	1.752	1.752
AC026877.1	1	1	1
AC026904.1	1	1	1
AC026956.1	1	1	1
AC026992.1	1	1	1
AC027119.1	1	1	1
AC027228.1	1	1	1
AC027238.1	1	1	1
AC027269.2	1	1	1
AC027281.1	1	1	1
AC027288.1	1	1	1
AC027288.2	1	1	1
AC027307.1	1	1	1
AC027307.2	1	1	1
AC027307.3	1.266	5.064	5.064
AC027309.1	1	1	1
AC027319.1	1	1	1
AC027319.2	1	1	1
AC027320.1	1	1	1
AC027348.1	1	1	1
AC027601.1	1	1	1
AC027612.2	1	1	1
AC027612.3	1	1	1
AC027612.6	1.122	1	1.122
AC027763.2	1	1.159	1.159
AC027806.1	1	1	1
AC027807.1	1	1	1
AC027811.1	1	1	1
AC034110.1	1	1	1
AC034154.1	1	1	1
AC034187.1	1	1	1
AC034187.2	1	1	1
AC034187.3	1	1	1
AC034187.4	1	1	1
AC034187.5	1	1	1
AC034193.5	1.164	4.154	4.154
AC034205.1	1	1	1
AC034220.3	1	1	1
AC034228.2	1	1	1
AC034228.3	1	1	1
AC034228.4	1	1	1
AC034228.7	1	1	1
AC034236.1	1	1	1
AC034236.2	1	1	1
AC034243.1	1	1	1
AC036178.1	1	1	1
AC037199.1	1	1	1
AC037445.1	1	1	1
AC037459.4	1	1	1
AC040160.1	1	1	1
AC040162.1	1	1	1
AC040163.1	1	1	1
AC040977.1	1	1	1
AC044860.1	1	1	1
AC046130.1	1	1	1
AC046143.1	1	1	1
AC046143.2	1	1	1
AC046143.3	1	1	1
AC048346.1	1	1	1
AC051642.1	1	1	1
AC051649.1	1	1	1
AC051649.12	1	1	1
AC051649.16	1	1	1
AC051649.6	1	1	1
AC053503.11	1	1	1
AC053503.4	1	1	1
AC053503.6	1	1	1
AC053516.1	1	1	1
AC055723.1	1	1	1
AC055736.1	1	1	1
AC055764.1	1	1	1
AC055811.1	1	1	1
AC055813.1	1	1	1
AC055873.1	1	1	1
AC055876.2	1	1	1
AC060226.1	1	1	1
AC060834.3	1	1	1
AC060835.1	1	1	1
AC061961.2	1	1	1
AC061975.10	1	1	1
AC061975.8	1	1	1
AC061992.1	1	1	1
AC061992.2	1	1	1
AC062017.1	1.218	1	1.218
AC062020.1	1	1	1
AC062020.2	1	1	1
AC062021.1	1	1	1
AC062028.1	1	1	1
AC062029.1	1	1	1
AC062031.1	1	1	1
AC062032.1	1	1	1
AC063932.1	1	1	1
AC063944.1	1	1	1
AC063976.3	1	1	1
AC064834.1	1	1	1
AC064834.2	1	1	1
AC064834.3	1	1	1
AC064837.1	1	1	1
AC064852.4	1	1	1
AC064853.2	1	1	1
AC064865.1	1	1	1
AC064871.3	1	1	1
AC064874.1	1	1	1
AC064875.2	1	1	1
AC066593.1	1.096	1.256	1.256
AC066612.1	1	1	1
AC067718.1	1	1	1
AC067735.1	1	1	1
AC067742.1	1	1	1
AC067751.1	1	1	1
AC067805.1	1	1	1
AC067945.2	1	1	1
AC067945.4	1	1	1
AC067956.1	1	1	1
AC067957.1	1	1	1
AC067959.1	1	1	1
AC067960.1	1	1	1
AC067961.1	1	1	1
AC067968.3	1	1	1
AC067969.1	1	1	1
AC067969.2	1	1	1
AC068014.1	1	1	1
AC068014.2	1	1	1
AC068020.1	1	1	1
AC068039.1	1	1	1
AC068039.4	1	1	1
AC068057.1	1	1	1
AC068057.2	1	1	1
AC068058.1	1	1	1
AC068062.1	1	1	1
AC068134.6	1	1	1
AC068134.8	1	1	1
AC068138.1	1	1	1
AC068196.1	1	1	1
AC068282.3	1	1	1
AC068286.1	1	1	1
AC068292.1	1	1	1
AC068483.1	1	1	1
AC068489.1	1	1	1
AC068490.1	1	1	1
AC068490.2	1	1	1
AC068491.2	1	1	1
AC068491.3	1	1	1
AC068492.1	1	1	1
AC068499.10	1	1.013	1.013
AC068506.1	1	1	1
AC068533.1	1	1	1
AC068533.7	1	1	1
AC068535.2	1	1	1
AC068535.3	1	1	1
AC068535.4	1	1	1
AC068538.4	1	1	1
AC068542.1	1	1	1
AC068542.2	1	1	1
AC068570.1	1	1	1
AC068580.1	1	1	1
AC068580.5	1	1	1
AC068580.6	1	1	1
AC068580.7	1	1	1
AC068587.1	1	1	1
AC068587.2	1	1	1
AC068610.3	1	1	1
AC068610.5	1	1	1
AC068620.1	1	1	1
AC068641.1	1	1	1
AC068643.1	1	1	1
AC068669.1	1	1	1
AC068704.1	1	1	1
AC068706.1	1	1	1
AC068706.2	1	1	1
AC068718.1	1	1	1
AC068718.2	1	1	1
AC068754.1	1	1	1
AC068831.10	1	1	1
AC068831.15	1	1	1
AC068831.3	1	1	1
AC068831.6	1.032	1	1.032
AC068858.1	1	1	1
AC068946.1	1	1	1
AC068987.1	1	1	1
AC069067.1	1	1	1
AC069082.1	1	1	1
AC069155.1	1	1	1
AC069227.1	1	1	1
AC069240.1	1	1	1
AC069243.1	1	1	1
AC069257.8	1	1	1
AC069276.1	1	1	1
AC069277.2	1	1	1
AC069278.4	1	1	1
AC069280.1	1	1	1
AC069285.1	1	1	1
AC069286.1	1	1	1
AC069294.1	1	1	1
AC069303.1	1	1	1
AC069363.1	1	1	1
AC069368.3	1	1	1
AC069394.1	1	1	1
AC069513.4	1	1	1
AC069547.1	1	1	1
AC069547.2	1	1	1
AC072031.1	1	1	1
AC072062.1	1	1	1
AC072062.3	1	1	1
AC073043.1	1	1	1
AC073046.25	1	1	1
AC073063.1	1	1	1
AC073071.1	1	1	1
AC073072.5	1	1	1
AC073089.1	1	1	1
AC073094.4	1	1	1
AC073115.6	1	1	1
AC073115.7	1	1	1
AC073127.1	1	1	1
AC073128.10	1	1	1
AC073130.1	1	1	1
AC073130.3	1	1	1
AC073133.1	1	1	1
AC073133.2	1	1	1
AC073135.3	1	1	1
AC073136.1	1	1	1
AC073188.1	1	1	1
AC073215.1	1	1	1
AC073218.1	1	1	1
AC073218.2	1	1	1
AC073218.3	1	1	1
AC073236.3	1	1	1
AC073254.1	1	1	1
AC073255.1	1	1	1
AC073257.1	1	1	1
AC073257.2	1	1	1
AC073283.4	1	1	1
AC073283.7	1	1	1
AC073284.4	1	1	1
AC073316.1	1	1	1
AC073316.2	1	1	1
AC073320.1	1	1	1
AC073321.3	1	1	1
AC073321.4	1	1	1
AC073325.1	1	1	1
AC073333.1	1	1	1
AC073333.8	1	1	1
AC073342.1	1	1	1
AC073342.12	1	1	1
AC073343.1	1	1	1
AC073343.13	1	1	1
AC073343.2	1	1	1
AC073409.1	1	1	1
AC073479.1	1	1	1
AC073508.1	1	1	1
AC073528.1	1	1	1
AC073569.1	1	1	1
AC073587.1	1	1	1
AC073597.1	1	1	1
AC073610.5	1	1.145	1.145
AC073626.2	1	1	1
AC073628.1	1	1	1
AC073635.5	1	1	1
AC073636.1	1	1	1
AC073641.2	1	1	1
AC073647.1	1	1	1
AC073648.1	1	1	1
AC073657.1	1	1	1
AC073834.3	1	1	1
AC073842.19	1	1	1
AC073869.19	1	1	1
AC073928.2	1	1	1
AC073934.6	1	1	1
AC073957.15	1	1	1
AC073973.1	1	1	1
AC073987.1	1	1	1
AC074011.2	1	1	1
AC074019.1	1	1	1
AC074035.1	1	1	1
AC074051.1	1	1	1
AC074091.1	1	1	1
AC074091.13	1	1	1
AC074117.10	1	1	1
AC074129.1	1	1	1
AC074138.3	1	1	1
AC074183.4	1	2.883	2.883
AC074212.3	1	1	1
AC074212.5	1	1	1
AC074212.6	1	1	1
AC074264.1	1	1	1
AC074286.1	1	1.054	1.054
AC074289.1	1	1	1
AC074323.1	1	1	1
AC074363.1	1	1	1
AC074366.3	1	1	1
AC074389.1	1	1	1
AC074389.5	1	1	1
AC074389.6	1	1	1
AC074389.7	1	1	1
AC074389.9	1.122	2.059	2.059
AC074391.1	1	1	1
AC074391.2	1	1	1
AC078785.1	1	1	1
AC078794.1	1	1	1
AC078816.1	1	1	1
AC078819.1	1	1	1
AC078828.1	1	1	1
AC078842.3	1	1	1
AC078842.4	1	1	1
AC078851.1	1	1	1
AC078851.2	1	1	1
AC078852.1	1	1	1
AC078852.2	1	1	1
AC078855.1	1	1	1
AC078864.1	1	1	1
AC078864.2	1	1	1
AC078881.1	1	1	1
AC078882.1	1	1	1
AC078883.3	1	1	1
AC078883.4	1	1	1
AC078889.1	1	1	1
AC078899.5	1	1	1
AC078899.8	1	1	1
AC078917.1	1	1	1
AC078925.1	1	1	1
AC078941.1	1	1	1
AC078942.1	1	1	1
AC078988.1	1	1	1
AC078993.1	1	1	1
AC079005.1	1	1	1
AC079080.1	1	1	1
AC079117.1	1	1	1
AC079117.2	1	1	1
AC079117.3	1	1	1
AC079135.1	1	1	1
AC079140.1	1	1	1
AC079145.4	1	1	1
AC079150.3	1	1	1
AC079154.1	1	1	1
AC079163.1	1	1	1
AC079210.1	1	1	1
AC079233.1	1	1	1
AC079235.1	1	1	1
AC079298.1	1	1	1
AC079305.10	1	1	1
AC079305.11	1	1	1
AC079305.8	1	1	1
AC079340.1	1	1	1
AC079341.1	1	1	1
